;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-21.87666666666655 -1.5 0.0,-120.01499999999999 -1.5 0.0,-21.963749999999835 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,-284.0 -4.5 0.0,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,225.8181519840704 -4.5 0.0,4.5 270.2711678005328 1.5707963267948966,4.5 243.05123196825313 1.5707963267948966,4.5 172.4911673030772 1.5707963267948966,4.5 124.22899018071766 1.5707963267948966,4.5 97.05811756882095 1.5707963267948966,-122.82128028935159 1.5 3.141592653589793,-49.05128028935161 1.5 3.141592653589793,-63.5727777777779 4.5 3.141592653589793,-4.5 -274.33922298835219 -1.5707963267948966,-4.5 -190.39431099890647 -1.5707963267948966,-4.5 -163.17813220227593 -1.5707963267948966,-4.5 -92.15910488109735 -1.5707963267948966,19.896119999999884 4.5 3.141592653589793,53.354999999999908 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,142.235 4.5 3.141592653589793,186.675 4.5 3.141592653589793,231.115 4.5 3.141592653589793,275.0 4.5 3.141592653589793,299.0 4.5 3.141592653589793,8.108888888889016 -4.5 -5.04646829375071e-16,2.939999999999875 4.5 3.141592653589793,-4.5 1.9558951189026175 -1.5707963267948966,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-15.704444444444335 -1.5 0.0,-108.90499999999997 -1.5 0.0,-12.931249999999807 -4.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-231.115 -4.5 0.0,-275.0 -4.5 0.0,-299.0 -4.5 0.0,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,236.92815198407045 -4.5 0.0,19.132777777777905 -4.5 0.0,4.5 281.3811678005328 1.5707963267948966,4.5 254.16120630116499 1.5707963267948966,4.5 183.6011673030772 1.5707963267948966,4.5 135.33899018071765 1.5707963267948966,4.5 108.14846661357963 1.5707963267948966,-133.9312802893516 1.5 3.141592653589793,-60.16128028935161 1.5 3.141592653589793,-74.6827777777779 4.5 3.141592653589793,-4.5 -285.449217213213 -1.5707963267948966,-4.5 -201.50431099890649 -1.5707963267948966,-4.5 -174.28660372092814 -1.5707963267948966,-4.5 -103.26910488109735 -1.5707963267948966,15.28580799999986 4.5 3.141592653589793,42.76813599999991 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,131.125 4.5 3.141592653589793,175.565 4.5 3.141592653589793,220.005 4.5 3.141592653589793,264.445 4.5 3.141592653589793,296.0 4.5 3.141592653589793,1.297499999999875 4.5 3.141592653589793,-4.5 1.2058951189026175 -1.5707963267948966,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-12.001111111111016 -1.5 0.0,-97.79499999999996 -1.5 0.0,-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,-264.445 -4.5 0.0,-296.0 -4.5 0.0,1.5 -299.0 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,248.03815198407046 -4.5 0.0,30.242777777777904 -4.5 0.0,4.5 292.4911678005328 1.5707963267948966,4.5 265.2711909009121 1.5707963267948966,4.5 194.71116730307726 1.5707963267948966,4.5 146.44899018071767 1.5707963267948966,4.5 119.24667604043484 1.5707963267948966,-145.0412802893516 1.5 3.141592653589793,-71.27128028935161 1.5 3.141592653589793,-85.7927777777779 4.5 3.141592653589793,-4.5 -296.559217213213 -1.5707963267948966,-4.5 -212.6143109989065 -1.5707963267948966,-4.5 -185.39568663211944 -1.5707963267948966,-4.5 -114.37910488109735 -1.5707963267948966,11.955547199999842 4.5 3.141592653589793,34.04845279999989 4.5 3.141592653589793,75.57499999999993 4.5 3.141592653589793,120.01499999999999 4.5 3.141592653589793,164.455 4.5 3.141592653589793,208.89499999999999 4.5 3.141592653589793,253.335 4.5 3.141592653589793,291.0 4.5 3.141592653589793,-2.3599999999997864 -4.5 0.0,0.7499999999998757 4.5 3.141592653589793,-4.5 0.8308951189026175 -1.5707963267948966,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-10.766666666666595 -1.5 0.0,-86.68499999999995 -1.5 0.0,-31.134999999999878 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,-253.335 -4.5 0.0,-291.0 -4.5 0.0,1.5 -296.0 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,259.1481519840704 -4.5 0.0,41.3527777777779 -4.5 0.0,4.5 276.3811816607604 1.5707963267948966,4.5 205.82116730307724 1.5707963267948966,4.5 157.5589901807177 1.5707963267948966,4.5 130.34960169654796 1.5707963267948966,-156.15128028935158 1.5 3.141592653589793,-82.38128028935161 1.5 3.141592653589793,-96.9027777777779 4.5 3.141592653589793,-4.5 -223.7243109989065 -1.5707963267948966,-4.5 -196.50513637883427 -1.5707963267948966,-4.5 -125.48910488109735 -1.5707963267948966,27.62312287999987 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,153.34500000000004 4.5 3.141592653589793,197.78500000000003 4.5 3.141592653589793,242.225 4.5 3.141592653589793,284.0 4.5 3.141592653589793,8.75000000000021 -4.5 0.0,0.7499999999998757 4.5 3.141592653589793,9.920380479999836 4.5 3.141592653589793,-4.5 0.6433951189026175 -1.5707963267948966,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-75.57499999999993 -1.5 0.0,-21.87666666666655 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,-284.0 -4.5 0.0,1.5 -291.0 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,270.2581519840705 -4.5 0.0,52.4627777777779 -4.5 0.0,19.860000000000214 -4.5 0.0,4.5 287.49117819570349 1.5707963267948966,4.5 216.93116730307725 1.5707963267948966,4.5 168.66899018071769 1.5707963267948966,4.5 141.45535709021585 1.5707963267948966,-167.2612802893516 1.5 3.141592653589793,-93.49128028935161 1.5 3.141592653589793,-108.0127777777779 4.5 3.141592653589793,-4.5 -234.83431099890653 -1.5707963267948966,-4.5 -207.61480622686316 -1.5707963267948966,-4.5 -136.59910488109734 -1.5707963267948966,23.013025215999848 4.5 3.141592653589793,53.354999999999908 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,142.235 4.5 3.141592653589793,186.675 4.5 3.141592653589793,231.115 4.5 3.141592653589793,275.0 4.5 3.141592653589793,299.0 4.5 3.141592653589793,-9.77141788642703 -1.453152782377271 0.2021477304581369,0.7499999999998757 4.5 3.141592653589793,8.659261631999847 4.5 3.141592653589793,-4.5 -0.4816048810973826 -1.5707963267948966,;road_0_1_0 g r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 g r,
-64.46499999999992 -1.5 0.0,-15.704444444444335 -4.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-231.115 -4.5 0.0,-275.0 -4.5 0.0,-299.0 -4.5 0.0,1.5 -284.0 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,281.3681519840705 -4.5 0.0,63.5727777777779 -4.5 0.0,30.970000000000213 -4.5 0.0,4.5 298.6011781957035 1.5707963267948966,4.5 228.04116730307724 1.5707963267948966,4.5 179.7789901807177 1.5707963267948966,4.5 152.56281032641659 1.5707963267948966,-178.37128028935164 1.5 3.141592653589793,-104.6012802893516 1.5 3.141592653589793,-119.1227777777779 4.5 3.141592653589793,-4.5 -245.94431099890654 -1.5707963267948966,-4.5 -218.72460813568049 -1.5707963267948966,-4.5 -147.70910488109736 -1.5707963267948966,19.689091775999829 4.5 3.141592653589793,43.83005287679987 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,131.125 4.5 3.141592653589793,175.565 4.5 3.141592653589793,220.005 4.5 3.141592653589793,264.445 4.5 3.141592653589793,296.0 4.5 3.141592653589793,-8.79783509001672 -1.2343793139663447 0.44684246848576406,0.7499999999998757 4.5 3.141592653589793,8.525119674644233 4.5 3.141592653589793,-4.5 -3.606604881097383 -1.5707963267948966,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-53.354999999999908 -1.5 0.0,-12.001111111111016 -4.5 0.0,-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,-264.445 -4.5 0.0,-296.0 -4.5 0.0,1.5 -275.0 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,292.4781519840705 -4.5 0.0,74.6827777777779 -4.5 0.0,42.08000000000021 -4.5 0.0,4.5 239.15116730307728 1.5707963267948966,4.5 190.88899018071775 1.5707963267948966,4.5 163.67128226813703 1.5707963267948966,-189.48128028935163 1.5 3.141592653589793,-115.7112802893516 1.5 3.141592653589793,-130.2327777777779 4.5 3.141592653589793,-4.5 -257.05431099890657 -1.5707963267948966,-4.5 -229.8344892809709 -1.5707963267948966,-4.5 -158.81910488109737 -1.5707963267948966,17.585489458128735 4.5 3.141592653589793,36.74908448511985 4.5 3.141592653589793,75.57499999999993 4.5 3.141592653589793,120.01499999999999 4.5 3.141592653589793,164.455 4.5 3.141592653589793,208.89499999999999 4.5 3.141592653589793,253.335 4.5 3.141592653589793,291.0 4.5 3.141592653589793,-7.896019061292088 -0.8022591335357919 0.44684246848576406,-0.25000000000012437 4.5 3.141592653589793,8.277296208953978 4.5 3.141592653589793,-4.5 -8.731604881097379 -1.5707963267948966,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-42.24499999999989 -1.5 0.0,-10.149444444444328 -4.5 0.0,-33.12255555555544 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,-253.335 -4.5 0.0,-291.0 -4.5 0.0,1.5 -264.445 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,85.7927777777779 -4.5 0.0,53.19000000000021 -4.5 0.0,4.5 250.2611673030773 1.5707963267948966,4.5 201.99899018071774 1.5707963267948966,4.5 174.7803654331693 1.5707963267948966,-200.59128028935164 1.5 3.141592653589793,-126.8212802893516 1.5 3.141592653589793,-141.34277777777789 4.5 3.141592653589793,-4.5 -268.16431099890658 -1.5707963267948966,-4.5 -240.94441796814517 -1.5707963267948966,-4.5 -169.92910488109738 -1.5707963267948966,-4.5 -15.856604881097383 -1.5707963267948966,299.0 1.5 3.141592653589793,16.183803235756956 4.5 3.141592653589793,31.658399225510949 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,153.34500000000004 4.5 3.141592653589793,197.78500000000003 4.5 3.141592653589793,242.225 4.5 3.141592653589793,284.0 4.5 3.141592653589793,-6.478099738178161 0.0680774398252767 0.5845597376515513,-3.250000000000125 4.5 3.141592653589793,7.149618964968743 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-32.2829999999999 -1.5 0.0,-27.01713333333322 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,-284.0 -4.5 0.0,1.5 -253.335 1.5707963267948966,4.5 -86.68499999999995 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,96.9027777777779 -4.5 0.0,64.30000000000021 -4.5 0.0,4.5 261.3711673030773 1.5707963267948966,4.5 213.10899018071775 1.5707963267948966,4.5 185.88981533218868 1.5707963267948966,-211.70128028935162 1.5 3.141592653589793,-137.9312802893516 1.5 3.141592653589793,-152.4527777777779 4.5 3.141592653589793,-4.5 -279.27431099890659 -1.5707963267948966,-4.5 -252.0543751804497 -1.5707963267948966,-4.5 -181.0391048810974 -1.5707963267948966,-4.5 -24.981604881097384 -1.5707963267948966,296.0 1.5 3.141592653589793,14.608613014230912 4.5 3.141592653589793,27.926023392582409 4.5 3.141592653589793,54.382881450424779 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,142.235 4.5 3.141592653589793,186.675 4.5 3.141592653589793,231.115 4.5 3.141592653589793,275.0 4.5 3.141592653589793,299.0 4.5 3.141592653589793,-7.914999999999907 -4.5 0.0,-5.670538410944566 0.656033638131946 0.6774380640350717,-8.250000000000125 4.5 3.1415926535897928,4.565812149338986 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-25.002199999999904 -1.5 0.0,-21.70358666666658 -4.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-231.115 -4.5 0.0,-275.0 -4.5 0.0,1.5 -242.225 1.5707963267948966,4.5 -75.57499999999993 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,108.0127777777779 -4.5 0.0,75.41000000000021 -4.5 0.0,4.5 272.4811673030773 1.5707963267948966,4.5 224.21899018071773 1.5707963267948966,4.5 196.9994852716003 1.5707963267948966,-222.81128028935167 1.5 3.141592653589793,-149.04128028935163 1.5 3.141592653589793,-163.5627777777779 4.5 3.141592653589793,-15.250000000000125 4.5 3.141592653589793,-4.5 -290.3843109989066 -1.5707963267948966,-4.5 -263.1643495078324 -1.5707963267948966,-4.5 -192.1491048810974 -1.5707963267948966,-4.5 -35.59910488109738 -1.5707963267948966,291.0 1.5 3.141592653589793,12.257863769498329 4.5 3.141592653589793,24.715458319217079 4.5 3.141592653589793,46.32361160403144 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,131.125 4.5 3.141592653589793,175.565 4.5 3.141592653589793,220.005 4.5 3.141592653589793,264.445 4.5 3.141592653589793,296.0 4.5 3.141592653589793,-3.680555555555463 -4.5 0.0,-5.410811380062106 0.8649665951782016 0.6774380640350717,0.43948728960334196 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-20.23081333333323 -1.5 0.0,-15.863305777777669 -4.5 0.0,-43.026375999999917 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,-264.445 -4.5 0.0,1.5 -231.115 1.5707963267948966,4.5 -64.46499999999992 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,119.1227777777779 -4.5 0.0,86.52000000000021 -4.5 0.0,4.5 283.5911673030773 1.5707963267948966,4.5 235.32899018071778 1.5707963267948966,4.5 208.10928723524729 1.5707963267948966,-233.92128028935168 1.5 3.141592653589793,-160.15128028935164 1.5 3.141592653589793,-174.67277777777793 4.5 3.141592653589793,-24.250000000000126 4.5 3.141592653589793,-4.5 -274.2743341042621 -1.5707963267948966,-4.5 -203.25910488109742 -1.5707963267948966,-4.5 -46.70910488109738 -1.5707963267948966,284.0 1.5 3.141592653589793,21.44766105453789 4.5 3.141592653589793,40.00797823003825 4.5 3.141592653589793,75.57499999999993 4.5 3.141592653589793,120.01499999999999 4.5 3.141592653589793,164.455 4.5 3.141592653589793,208.89499999999999 4.5 3.141592653589793,253.335 4.5 3.141592653589793,291.0 4.5 3.141592653589793,2.5538888888889814 -4.5 0.0,-5.410811380062106 0.8649665951782016 0.6774380640350717,-5.236307626238045 4.5 -3.1415926535897928,8.705248205593194 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-16.9994319999999 -1.5 0.0,-33.89076035555547 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,-253.335 -4.5 0.0,1.5 -220.005 1.5707963267948966,4.5 -53.354999999999908 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,130.2327777777779 -4.5 0.0,97.63000000000021 -4.5 0.0,10.788333333333427 -4.5 0.0,4.5 294.70116730307736 1.5707963267948966,4.5 246.43899018071779 1.5707963267948966,4.5 219.21916841343549 1.5707963267948966,-245.03128028935167 1.5 3.141592653589793,-171.26128028935166 1.5 3.141592653589793,-185.78277777777795 4.5 3.141592653589793,-34.80500000000012 4.5 3.141592653589793,-12.641784575742875 4.5 3.141592653589793,-4.5 -285.38432832792327 -1.5707963267948966,-4.5 -214.36910488109744 -1.5707963267948966,-4.5 -57.81910488109738 -1.5707963267948966,275.0 1.5 3.141592653589793,17.640172802178996 4.5 3.141592653589793,34.5398591287651 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,153.34500000000004 4.5 3.141592653589793,197.78500000000003 4.5 3.141592653589793,242.225 4.5 3.141592653589793,284.0 4.5 3.141592653589793,-9.281208355555464 -4.5 0.0,-5.410811380062106 0.8649665951782016 0.6774380640350717,3.9934668896924174 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-14.752602133333255 -1.5 0.0,-25.241223715555465 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,1.5 -208.89499999999999 1.5707963267948966,4.5 -42.24499999999989 1.5707963267948966,4.5 -86.68499999999995 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,141.34277777777789 -4.5 0.0,108.74000000000021 -4.5 0.0,20.960555555555648 -4.5 0.0,4.5 257.54899018071776 1.5707963267948966,4.5 230.3290971203484 1.5707963267948966,-256.1412802893517 1.5 3.141592653589793,-182.37128028935167 1.5 3.141592653589793,-196.89277777777796 4.5 3.141592653589793,-45.91500000000012 4.5 3.141592653589793,-21.618070745445775 4.5 3.141592653589793,-4.5 -296.49432832792328 -1.5707963267948966,-4.5 -225.47910488109745 -1.5707963267948966,-4.5 -68.92910488109738 -1.5707963267948966,264.445 1.5 3.141592653589793,13.23913417400422 4.5 3.141592653589793,29.350613117441755 4.5 3.141592653589793,54.53618961129405 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,142.235 4.5 3.141592653589793,186.675 4.5 3.141592653589793,231.115 4.5 3.141592653589793,275.0 4.5 3.141592653589793,299.0 4.5 3.141592653589793,-1.6065027911110228 -4.5 0.0,-5.410811380062106 0.8649665951782016 0.6774380640350717,-2.141729086382665 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-13.207593919999909 -1.5 0.0,-16.447360447999928 -4.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-231.115 -4.5 0.0,1.5 -197.78500000000003 1.5707963267948966,4.5 -31.134999999999878 1.5707963267948966,4.5 -75.57499999999993 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,152.4527777777779 -4.5 0.0,119.85000000000022 -4.5 0.0,32.07055555555564 -4.5 0.0,4.5 268.6589901807178 1.5707963267948966,4.5 241.43905434449617 1.5707963267948966,-267.2512802893517 1.5 3.141592653589793,-193.48128028935168 1.5 3.141592653589793,-208.00277777777797 4.5 3.141592653589793,-57.02500000000012 4.5 3.141592653589793,-31.558842447267513 4.5 3.141592653589793,-4.5 -236.58910488109746 -1.5707963267948966,-4.5 -80.03910488109739 -1.5707963267948966,253.335 1.5 3.141592653589793,24.183455291061479 4.5 3.141592653589793,46.372022686964957 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,131.125 4.5 3.141592653589793,175.565 4.5 3.141592653589793,220.005 4.5 3.141592653589793,264.445 4.5 3.141592653589793,296.0 4.5 3.141592653589793,7.45476499200009 -4.499999999999999 -5.04646829375071e-16,-5.410811380062106 0.8649665951782016 0.6774380640350717,-9.727522983948486 4.5 3.141592653589793,7.859749674634429 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-12.300345205242025 -1.5 0.0,-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,1.5 -186.675 1.5707963267948966,1.5 -299.0 1.5707963267948966,4.5 -21.87666666666655 1.5707963267948966,4.5 -64.46499999999992 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,163.5627777777779 -4.5 0.0,130.9600000000002 -4.5 0.0,43.18055555555564 -4.5 0.0,17.523081217422314 -4.5 0.0,4.5 279.7689901807178 1.5707963267948966,4.5 252.54902867898483 1.5707963267948966,-278.3612802893517 1.5 3.141592653589793,-204.5912802893517 1.5 3.141592653589793,-219.11277777777799 4.5 3.141592653589793,-68.13500000000012 4.5 3.141592653589793,-41.96730546836055 4.5 3.141592653589793,-18.448205109640449 4.5 3.141592653589793,-4.5 -247.69910488109748 -1.5707963267948966,-4.5 -91.14910488109739 -1.5707963267948966,242.225 1.5 3.141592653589793,18.598319060275857 4.5 3.141592653589793,39.062565982917309 4.5 3.141592653589793,75.57499999999993 4.5 3.141592653589793,120.01499999999999 4.5 3.141592653589793,164.455 4.5 3.141592653589793,208.89499999999999 4.5 3.141592653589793,253.335 4.5 3.141592653589793,291.0 4.5 3.141592653589793,-7.100301686044361 -4.5 0.0,-5.410811380062106 0.8649665951782016 0.6774380640350717,1.3076818316880932 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-12.266666666666595 -1.5 0.0,-31.134999999999878 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,1.5 -175.565 1.5707963267948966,1.5 -296.0 1.5707963267948966,4.5 -15.704444444444335 1.5707963267948966,4.5 -53.354999999999908 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,174.67277777777793 -4.5 0.0,142.07000000000023 -4.5 0.0,54.29055555555564 -4.5 0.0,28.008070952675646 -4.5 0.0,4.5 290.87899018071786 1.5707963267948966,4.5 263.659013279678 1.5707963267948966,-289.47128028935176 1.5 3.141592653589793,-215.7012802893517 1.5 3.141592653589793,-230.222777777778 4.5 3.141592653589793,-79.24500000000012 4.5 3.141592653589793,-52.656383281016378 4.5 3.141592653589793,-27.9375378573471 4.5 3.141592653589793,-4.5 -258.8091048810975 -1.5707963267948966,-4.5 -102.25910488109737 -1.5707963267948966,231.115 1.5 3.141592653589793,12.371650600251485 4.5 3.141592653589793,32.10470406235601 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,153.34500000000004 4.5 3.141592653589793,197.78500000000003 4.5 3.141592653589793,242.225 4.5 3.141592653589793,284.0 4.5 3.141592653589793,2.762714720426754 -4.5 0.0,-5.410811380062106 0.8649665951782016 0.6774380640350717,-6.338809369981714 4.499999999999999 -3.1415926535897928,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-12.266666666666595 -1.5 0.0,-21.87666666666655 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,1.5 -164.455 1.5707963267948966,1.5 -291.0 1.5707963267948966,4.5 -12.001111111111016 1.5707963267948966,4.5 -42.24499999999989 1.5707963267948966,4.5 -86.68499999999995 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,185.78277777777795 -4.5 0.0,153.18000000000024 -4.5 0.0,65.40055555555564 -4.5 0.0,38.74306479382764 -4.5 0.0,12.957855160376976 -4.5 0.0,4.5 274.76900404009396 1.5707963267948966,-226.8112802893517 1.5 3.141592653589793,-241.332777777778 4.5 3.141592653589793,-90.35500000000012 4.5 3.141592653589793,-63.51382996860987 4.5 3.141592653589793,-37.96289158934597 4.5 3.141592653589793,-14.8761673144692 4.5 3.141592653589793,-4.5 -269.9191048810975 -1.5707963267948966,-4.5 -113.36910488109739 -1.5707963267948966,220.005 1.5 3.141592653589793,25.11238767761671 4.5 3.141592653589793,53.59668376118904 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,142.235 4.5 3.141592653589793,186.675 4.5 3.141592653589793,231.115 4.5 3.141592653589793,275.0 4.5 3.141592653589793,299.0 4.5 3.141592653589793,-5.410811380062106 0.8649665951782016 0.6774380640350717,5.358168371824263 4.5 3.141592653589793,;road_0_1_0 g r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 g r,
